feature_name,day_of_week,month,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
ACTRAN_ACOUSTICS,5,5,2,2,1,4,3,1,11,4,6
ACTRAN_ACOUSTICS,6,5,4,4,3,6,0,0,8,6,5
ACTRAN_ACOUSTICS,0,5,6,6,0,5,0,0,9,5,4
ACTRAN_ACOUSTICS,1,5,5,5,0,4,2,0,12,4,2
ACTRAN_ACOUSTICS,2,5,4,4,2,2,2,0,8,2,7
ACTRAN_ACOUSTICS,3,5,2,2,2,7,2,0,10,7,5
ACTRAN_ACOUSTICS,4,5,7,7,2,5,0,0,10,5,5
ACTRAN_ACOUSTICS,5,5,5,5,0,5,1,0,11,5,3
ACTRAN_ACOUSTICS,6,5,5,5,1,3,0,0,7,3,5
ACTRAN_ACOUSTICS,0,5,3,3,0,5,1,0,10,5,7
ACTRAN_ACOUSTICS,1,5,5,5,1,7,0,0,9,7,7
ACTRAN_ACOUSTICS,2,5,7,7,0,7,1,0,10,7,4
ACTRAN_ACOUSTICS,3,5,7,7,1,4,0,0,9,4,2
ACTRAN_ACOUSTICS,4,5,4,4,0,2,0,0,3,2,6
ACTRAN_ACOUSTICS,5,5,2,2,0,6,0,0,9,6,2
ACTRAN_ACOUSTICS,6,5,6,6,0,2,1,0,7,2,6
ACTRAN_ACOUSTICS,0,5,2,2,1,6,1,2,13,6,4
ACTRAN_ACOUSTICS,1,5,6,6,1,4,0,0,6,4,2
ACTRAN_ACOUSTICS,2,5,4,4,0,2,0,0,4,2,3
ACTRAN_ACOUSTICS,3,5,2,2,0,3,1,0,11,3,5
ACTRAN_ACOUSTICS,4,5,3,3,1,5,1,0,11,5,5
ACTRAN_ACOUSTICS,5,5,5,5,1,5,0,0,9,5,5
ACTRAN_ACOUSTICS,6,5,5,5,0,5,0,0,8,5,10
ACTRAN_ACOUSTICS,0,5,5,5,0,10,1,1,12,10,7
ACTRAN_ACOUSTICS,1,5,10,10,1,7,2,0,10,7,2
ACTRAN_ACOUSTICS,2,5,7,7,2,2,0,0,3,2,8
ACTRAN_ACOUSTICS,3,5,2,2,0,8,2,0,11,8,1
ACTRAN_ACOUSTICS,4,5,8,8,2,1,2,0,10,1,5
ACTRAN_ACOUSTICS,5,5,1,1,2,5,1,1,10,5,1
ADAMS_Car,5,5,4,4,2,2,0,1,7,2,6
ADAMS_Car,6,5,2,2,0,6,2,0,10,6,4
ADAMS_Car,0,5,6,6,2,4,1,0,10,4,9
ADAMS_Car,1,5,4,4,1,9,1,0,17,9,6
ADAMS_Car,2,5,9,9,1,6,0,0,8,6,3
ADAMS_Car,3,5,6,6,0,3,0,0,7,3,10
ADAMS_Car,4,5,3,3,0,10,0,0,11,10,5
ADAMS_Car,5,5,10,10,0,5,0,0,10,5,4
ADAMS_Car,6,5,5,5,0,4,0,0,11,4,5
ADAMS_Car,0,5,4,4,0,5,2,0,7,5,2
ADAMS_Car,1,5,5,5,2,2,1,0,6,2,1
ADAMS_Car,2,5,2,2,1,1,0,0,3,1,6
ADAMS_Car,3,5,1,1,0,6,1,0,9,6,5
ADAMS_Car,4,5,6,6,1,5,0,1,6,5,0
ADAMS_Car,5,5,5,5,0,0,1,0,4,0,4
ADAMS_Car,6,5,0,0,1,4,0,0,10,4,3
ADAMS_Car,0,5,4,4,0,3,0,0,5,3,2
ADAMS_Car,1,5,3,3,0,2,0,0,3,2,5
ADAMS_Car,2,5,2,2,0,5,2,0,9,5,4
ADAMS_Car,3,5,5,5,2,4,2,0,7,4,1
ADAMS_Car,4,5,4,4,2,1,1,0,6,1,7
ADAMS_Car,5,5,1,1,1,7,1,0,11,7,2
ADAMS_Car,6,5,7,7,1,2,0,0,5,2,6
ADAMS_Car,0,5,2,2,0,6,1,0,7,6,5
ADAMS_Car,1,5,6,6,1,5,1,0,9,5,4
ADAMS_Car,2,5,5,5,1,4,2,0,8,4,2
ADAMS_Car,3,5,4,4,2,2,2,0,8,2,5
ADAMS_Car,4,5,2,2,2,5,0,0,5,5,9
ADAMS_Car,5,5,5,5,0,9,0,0,8,9,4
ADAMS_Flex,5,5,1,3,1,7,1,0,11,4,3
ADAMS_Flex,6,5,4,7,1,7,0,0,12,3,2
ADAMS_Flex,0,5,3,7,0,4,2,0,8,2,2
ADAMS_Flex,1,5,2,4,2,2,1,0,5,2,4
ADAMS_Flex,2,5,2,2,1,7,1,0,11,4,5
ADAMS_Flex,3,5,4,7,1,7,0,0,10,5,3
ADAMS_Flex,4,5,5,7,0,7,0,0,14,3,3
ADAMS_Flex,5,5,3,7,0,4,3,0,9,3,1
ADAMS_Flex,6,5,3,4,3,2,0,1,6,1,3
ADAMS_Flex,0,5,1,2,0,4,0,0,9,3,1
ADAMS_Flex,1,5,3,4,0,3,0,0,9,1,2
ADAMS_Flex,2,5,1,3,0,6,1,0,10,2,3
ADAMS_Flex,3,5,2,6,1,5,3,0,11,3,4
ADAMS_Flex,4,5,3,5,3,5,2,0,11,4,2
ADAMS_Flex,5,5,4,5,2,4,1,0,10,2,6
ADAMS_Flex,6,5,2,4,1,7,1,0,11,6,2
ADAMS_Flex,0,5,6,7,1,3,1,0,6,2,3
ADAMS_Flex,1,5,2,3,1,4,2,0,8,3,2
ADAMS_Flex,2,5,3,4,2,5,0,1,9,2,4
ADAMS_Flex,3,5,2,5,0,5,1,0,9,4,1
ADAMS_Flex,4,5,4,5,1,2,0,0,4,1,2
ADAMS_Flex,5,5,1,2,0,3,1,0,8,2,2
ADAMS_Flex,6,5,2,3,1,5,0,0,8,2,4
ADAMS_Flex,0,5,2,5,0,5,1,0,8,4,4
ADAMS_Flex,1,5,4,5,1,6,1,0,9,4,3
ADAMS_Flex,2,5,4,6,1,4,1,0,8,3,5
ADAMS_Flex,3,5,3,4,1,7,0,0,10,5,2
ADAMS_Flex,4,5,5,7,0,2,0,0,3,2,3
ADAMS_Flex,5,5,2,2,0,6,3,0,9,3,3
ADAMS_Insight,5,5,2,2,1,4,1,0,7,3,2
ADAMS_Insight,6,5,3,4,1,3,0,1,6,2,3
ADAMS_Insight,0,5,2,3,0,4,0,0,4,3,3
ADAMS_Insight,1,5,3,4,0,5,0,0,6,3,2
ADAMS_Insight,2,5,3,5,0,2,0,0,4,2,3
ADAMS_Insight,3,5,2,2,0,4,0,0,7,3,2
ADAMS_Insight,4,5,3,4,0,3,2,0,6,2,1
ADAMS_Insight,5,5,2,3,2,1,0,0,6,1,4
ADAMS_Insight,6,5,1,1,0,5,1,0,9,4,5
ADAMS_Insight,0,5,4,5,1,6,0,0,7,5,3
ADAMS_Insight,1,5,5,6,0,5,1,1,13,3,3
ADAMS_Insight,2,5,3,5,1,5,0,0,8,3,6
ADAMS_Insight,3,5,3,5,0,10,1,0,12,6,4
ADAMS_Insight,4,5,6,10,1,6,0,0,9,4,3
ADAMS_Insight,5,5,4,6,0,6,2,1,11,3,3
ADAMS_Insight,6,5,3,6,2,6,0,0,9,3,4
ADAMS_Insight,0,5,3,6,0,7,1,0,8,4,2
ADAMS_Insight,1,5,4,7,1,7,2,1,13,2,6
ADAMS_Insight,2,5,2,7,2,8,2,1,12,6,1
ADAMS_Insight,3,5,6,8,2,3,1,0,8,1,4
ADAMS_Insight,4,5,1,3,1,5,1,0,12,4,5
ADAMS_Insight,5,5,4,5,1,7,1,0,12,5,1
ADAMS_Insight,6,5,5,7,1,2,0,1,5,1,5
ADAMS_Insight,0,5,1,2,0,6,0,0,7,5,3
ADAMS_Insight,1,5,5,6,0,5,0,0,10,3,2
ADAMS_Insight,2,5,3,5,0,4,0,0,7,2,3
ADAMS_Insight,3,5,2,4,0,5,2,0,10,3,4
ADAMS_Insight,4,5,3,5,2,4,4,0,9,4,3
ADAMS_Insight,5,5,4,4,4,5,2,1,12,3,1
ADAMS_Linear,5,5,1,1,0,7,0,0,11,4,2
ADAMS_Linear,6,5,4,7,0,5,0,0,10,2,2
ADAMS_Linear,0,5,2,5,0,4,1,1,8,2,3
ADAMS_Linear,1,5,2,4,1,5,1,0,9,3,1
ADAMS_Linear,2,5,3,5,1,1,1,0,3,1,5
ADAMS_Linear,3,5,1,1,1,5,0,0,5,5,2
ADAMS_Linear,4,5,5,5,0,3,0,0,5,2,2
ADAMS_Linear,5,5,2,3,0,3,1,0,7,2,4
ADAMS_Linear,6,5,2,3,1,8,1,0,13,4,2
ADAMS_Linear,0,5,4,8,1,3,2,1,9,2,5
ADAMS_Linear,1,5,2,3,2,6,0,0,6,5,3
ADAMS_Linear,2,5,5,6,0,6,0,0,9,3,3
ADAMS_Linear,3,5,3,6,0,8,3,0,13,3,3
ADAMS_Linear,4,5,3,8,3,5,2,0,8,3,3
ADAMS_Linear,5,5,3,5,2,4,1,0,10,3,4
ADAMS_Linear,6,5,3,4,1,5,2,0,9,4,1
ADAMS_Linear,0,5,4,5,2,2,0,0,7,1,2
ADAMS_Linear,1,5,1,2,0,3,1,0,9,2,2
ADAMS_Linear,2,5,2,3,1,3,0,0,7,2,3
ADAMS_Linear,3,5,2,3,0,5,0,0,7,3,2
ADAMS_Linear,4,5,3,5,0,3,0,1,7,2,4
ADAMS_Linear,5,5,2,3,0,6,1,0,9,4,2
ADAMS_Linear,6,5,4,6,1,3,0,1,7,2,2
ADAMS_Linear,0,5,2,3,0,5,1,0,11,2,2
ADAMS_Linear,1,5,2,5,1,2,1,0,5,2,2
ADAMS_Linear,2,5,2,2,1,4,1,0,10,2,5
ADAMS_Linear,3,5,2,4,1,5,0,1,6,5,4
ADAMS_Linear,4,5,5,5,0,7,1,0,11,4,6
ADAMS_Linear,5,5,4,7,1,9,0,1,12,6,1
ADAMS_Solver,5,5,0,0,1,3,2,1,8,2,2
ADAMS_Solver,6,5,2,3,2,2,2,0,9,2,5
ADAMS_Solver,0,5,2,2,2,8,0,0,12,5,3
ADAMS_Solver,1,5,5,8,0,7,2,0,12,3,3
ADAMS_Solver,2,5,3,7,2,7,1,0,12,3,1
ADAMS_Solver,3,5,3,7,1,2,0,0,9,1,6
ADAMS_Solver,4,5,1,2,0,7,0,0,7,6,5
ADAMS_Solver,5,5,6,7,0,7,2,0,10,5,1
ADAMS_Solver,6,5,5,7,2,1,0,0,4,1,5
ADAMS_Solver,0,5,1,1,0,7,0,1,12,5,5
ADAMS_Solver,1,5,5,7,0,9,1,0,12,5,3
ADAMS_Solver,2,5,5,9,1,6,1,0,10,3,3
ADAMS_Solver,3,5,3,6,1,4,1,0,8,3,2
ADAMS_Solver,4,5,3,4,1,3,2,0,8,2,6
ADAMS_Solver,5,5,2,3,2,6,0,0,8,6,2
ADAMS_Solver,6,5,6,6,0,3,0,0,7,2,4
ADAMS_Solver,0,5,2,3,0,6,1,0,11,4,6
ADAMS_Solver,1,5,4,6,1,8,0,0,10,6,2
ADAMS_Solver,2,5,6,8,0,4,1,0,9,2,1
ADAMS_Solver,3,5,2,4,1,3,1,0,9,1,4
ADAMS_Solver,4,5,1,3,1,5,1,0,8,4,3
ADAMS_Solver,5,5,4,5,1,4,0,0,6,3,3
ADAMS_Solver,6,5,3,4,0,8,2,0,11,3,6
ADAMS_Solver,0,5,3,8,2,9,1,1,12,6,6
ADAMS_Solver,1,5,6,9,1,7,2,0,11,6,3
ADAMS_Solver,2,5,6,7,2,3,2,0,5,3,2
ADAMS_Solver,3,5,3,3,2,4,2,0,10,2,3
ADAMS_Solver,4,5,2,4,2,7,0,0,11,3,5
ADAMS_Solver,5,5,3,7,0,7,0,0,11,5,1
ADAMS_Solver_SMP,5,5,0,0,1,5,0,1,9,2,1
ADAMS_Solver_SMP,6,5,2,5,0,3,1,0,8,1,4
ADAMS_Solver_SMP,0,5,1,3,1,7,2,0,12,4,7
ADAMS_Solver_SMP,1,5,4,7,2,7,1,2,9,7,5
ADAMS_Solver_SMP,2,5,7,7,1,6,1,1,13,5,2
ADAMS_Solver_SMP,3,5,5,6,1,3,2,0,5,2,7
ADAMS_Solver_SMP,4,5,2,3,2,8,1,1,12,7,3
ADAMS_Solver_SMP,5,5,7,8,1,3,3,0,12,3,2
ADAMS_Solver_SMP,6,5,3,3,3,2,0,0,6,2,5
ADAMS_Solver_SMP,0,5,2,2,0,5,0,0,5,5,3
ADAMS_Solver_SMP,1,5,5,5,0,7,1,0,14,3,4
ADAMS_Solver_SMP,2,5,3,7,1,5,1,0,7,4,2
ADAMS_Solver_SMP,3,5,4,5,1,3,1,0,8,2,1
ADAMS_Solver_SMP,4,5,2,3,1,5,0,0,9,1,4
ADAMS_Solver_SMP,5,5,1,5,0,8,2,1,14,4,4
ADAMS_Solver_SMP,6,5,4,8,2,7,2,0,11,4,4
ADAMS_Solver_SMP,0,5,4,7,2,4,2,0,7,4,2
ADAMS_Solver_SMP,1,5,4,4,2,3,3,0,10,2,1
ADAMS_Solver_SMP,2,5,2,3,3,3,2,0,8,1,3
ADAMS_Solver_SMP,3,5,1,3,2,4,0,0,6,3,3
ADAMS_Solver_SMP,4,5,3,4,0,3,1,0,7,3,1
ADAMS_Solver_SMP,5,5,3,3,1,2,2,0,8,1,5
ADAMS_Solver_SMP,6,5,1,2,2,7,1,0,9,5,3
ADAMS_Solver_SMP,0,5,5,7,1,3,0,0,5,3,6
ADAMS_Solver_SMP,1,5,3,3,0,7,0,0,9,6,3
ADAMS_Solver_SMP,2,5,6,7,0,4,0,0,7,3,3
ADAMS_Solver_SMP,3,5,3,4,0,4,0,0,6,3,2
ADAMS_Solver_SMP,4,5,3,4,0,5,0,0,10,2,2
ADAMS_Solver_SMP,5,5,2,5,0,6,0,0,11,2,0
ADAMS_View,5,5,0,0,0,4,1,1,7,3,6
ADAMS_View,6,5,3,4,1,9,1,1,11,6,4
ADAMS_View,0,5,6,9,1,8,0,0,9,4,1
ADAMS_View,1,5,4,8,0,2,2,0,5,1,3
ADAMS_View,2,5,1,2,2,7,1,0,10,3,1
ADAMS_View,3,5,3,7,1,1,1,1,7,1,1
ADAMS_View,4,5,1,1,1,3,1,0,7,1,5
ADAMS_View,5,5,1,3,1,8,0,2,13,5,2
ADAMS_View,6,5,5,8,0,3,1,0,4,2,3
ADAMS_View,0,5,2,3,1,7,2,0,10,3,5
ADAMS_View,1,5,3,7,2,6,0,0,7,5,1
ADAMS_View,2,5,5,6,0,2,1,0,7,1,3
ADAMS_View,3,5,1,2,1,4,5,0,12,3,3
ADAMS_View,4,5,3,4,5,5,0,0,7,3,1
ADAMS_View,5,5,3,5,0,3,2,0,10,1,2
ADAMS_View,6,5,1,3,2,4,0,0,7,2,1
