feature_name,day_of_week,month,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
CFD Module,1,6,11,15,2,16,1,1,8,12,13
CFD Module,2,6,12,16,1,18,2,2,9,13,14
CFD Module,3,6,13,18,2,19,2,1,10,14,15
CFD Module,4,6,14,19,2,20,2,2,11,15,16
CFD Module,5,6,15,20,2,21,2,2,12,16,15
CFD Module,6,6,16,21,2,20,2,2,11,15,17
CFD Module,0,6,15,20,2,22,2,2,13,17,16
CFD Module,1,6,17,22,2,21,2,2,12,16,18
Heat Transfer,1,6,9,12,1,14,1,1,7,10,11
Heat Transfer,2,6,10,14,1,15,2,1,8,11,11
Heat Transfer,3,6,11,15,2,16,1,1,8,11,12
Heat Transfer,4,6,11,16,1,17,2,1,9,12,13
Heat Transfer,5,6,12,17,2,18,1,1,9,13,12
Heat Transfer,6,6,13,18,1,17,2,1,9,12,13
Heat Transfer,0,6,12,17,2,19,1,1,10,13,13
Heat Transfer,1,6,13,19,1,18,2,1,9,13,14
RF Module,1,6,5,6,1,7,1,0,4,6,6
RF Module,2,6,6,7,1,8,1,0,5,6,7
RF Module,3,6,6,8,1,9,1,0,5,7,8
RF Module,4,6,7,9,1,10,1,0,6,8,8
RF Module,5,6,8,10,1,11,1,0,6,8,8
RF Module,6,6,8,11,1,10,1,0,6,8,9
RF Module,0,6,8,10,1,12,1,0,7,9,8
RF Module,1,6,9,12,1,11,1,0,6,8,10
Structural Mechanics,1,6,7,8,0,10,0,0,6,8,8
Structural Mechanics,2,6,8,10,0,11,1,0,6,8,9
Structural Mechanics,3,6,8,11,1,12,1,0,7,9,9
Structural Mechanics,4,6,9,12,1,13,1,0,7,9,10
Structural Mechanics,5,6,9,13,1,14,1,0,8,10,9
Structural Mechanics,6,6,10,14,1,13,1,0,7,9,11
Structural Mechanics,0,6,9,13,1,15,1,0,8,11,10
Structural Mechanics,1,6,11,15,1,14,1,0,8,10,12
