feature_name,month,year,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
CFD Module,2,2026,21,550,28,565,29,16,52,22,23
CFD Module,3,2026,22,565,29,582,30,17,54,23,24
CFD Module,4,2026,23,582,30,600,31,18,56,24,25
CFD Module,5,2026,24,600,31,620,32,18,58,25,26
CFD Module,6,2026,25,620,32,642,34,19,60,26,27
CFD Module,7,2026,26,642,34,660,35,20,62,27,28
CFD Module,8,2026,27,660,35,680,36,20,64,28,29
CFD Module,9,2026,28,680,36,700,37,21,66,29,30
CFD Module,10,2026,29,700,37,722,38,22,68,30,31
CFD Module,11,2026,30,722,38,744,39,22,70,31,33
COMSOL Multiphysics,2,2026,24,620,32,640,34,19,60,25,26
COMSOL Multiphysics,3,2026,25,640,34,665,35,20,62,26,27
COMSOL Multiphysics,4,2026,26,665,35,690,36,21,64,27,28
COMSOL Multiphysics,5,2026,27,690,36,715,38,22,66,28,29
COMSOL Multiphysics,6,2026,28,715,38,740,39,23,68,29,30
COMSOL Multiphysics,7,2026,29,740,39,760,40,24,70,30,31
COMSOL Multiphysics,8,2026,30,760,40,785,42,25,72,31,32
COMSOL Multiphysics,9,2026,31,785,42,810,43,26,74,32,33
COMSOL Multiphysics,10,2026,32,810,43,835,45,27,76,33,34
COMSOL Multiphysics,11,2026,33,835,45,860,46,28,78,34,36
Heat Transfer,2,2026,18,480,22,495,23,13,45,19,20
Heat Transfer,3,2026,19,495,23,510,24,13,46,20,20
Heat Transfer,4,2026,20,510,24,528,25,14,48,20,21
Heat Transfer,5,2026,20,528,25,545,26,14,49,21,22
Heat Transfer,6,2026,21,545,26,565,27,15,51,22,22
Heat Transfer,7,2026,22,565,27,580,28,15,52,22,23
Heat Transfer,8,2026,22,580,28,598,29,16,54,23,24
Heat Transfer,9,2026,23,598,29,615,30,16,55,24,25
Heat Transfer,10,2026,24,615,30,635,31,17,57,25,26
Heat Transfer,11,2026,25,635,31,655,32,18,59,26,27
RF Module,2,2026,12,310,15,320,15,8,29,13,13
RF Module,3,2026,13,320,15,330,16,9,30,13,14
RF Module,4,2026,13,330,16,342,16,9,31,14,14
RF Module,5,2026,14,342,16,355,17,9,32,14,15
RF Module,6,2026,14,355,17,368,18,10,33,15,15
RF Module,7,2026,15,368,18,380,18,10,34,15,16
RF Module,8,2026,15,380,18,392,19,10,35,16,17
RF Module,9,2026,16,392,19,405,20,11,36,17,17
RF Module,10,2026,17,405,20,418,20,11,37,17,18
RF Module,11,2026,17,418,20,432,21,12,38,18,19
Structural Mechanics,2,2026,16,410,18,425,19,10,39,17,17
Structural Mechanics,3,2026,17,425,19,438,19,11,40,17,18
Structural Mechanics,4,2026,17,438,19,452,20,11,42,18,19
Structural Mechanics,5,2026,18,452,20,468,21,12,43,19,20
Structural Mechanics,6,2026,19,468,21,485,22,12,45,20,21
Structural Mechanics,7,2026,20,485,22,500,22,12,46,21,21
Structural Mechanics,8,2026,21,500,22,518,23,13,48,21,22
Structural Mechanics,9,2026,21,518,23,535,24,13,49,22,23
Structural Mechanics,10,2026,22,535,24,552,25,14,51,23,24
Structural Mechanics,11,2026,23,552,25,570,26,14,53,24,25
