feature_name,week,year,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
ACTRAN_ACOUSTICS,19,2026,6,12,4,31,7,0,12,7,7
ACTRAN_ACOUSTICS,20,2026,7,31,7,33,3,0,10,7,6
ACTRAN_ACOUSTICS,21,2026,7,33,3,30,3,2,13,6,10
ADAMS_Car,19,2026,6,12,4,41,2,0,17,10,6
ADAMS_Car,20,2026,10,41,2,23,5,1,10,6,7
ADAMS_Car,21,2026,6,23,5,24,6,0,11,7,9
ADAMS_Flex,19,2026,4,17,2,33,7,1,14,5,6
ADAMS_Flex,20,2026,5,33,7,34,8,0,11,6,4
ADAMS_Flex,21,2026,6,34,8,27,5,1,9,4,5
ADAMS_Insight,19,2026,3,9,2,24,3,0,9,4,6
ADAMS_Insight,20,2026,4,24,3,44,4,2,13,6,6
ADAMS_Insight,21,2026,6,44,4,39,8,3,13,6,5
ADAMS_Linear,19,2026,4,13,0,29,5,1,13,5,5
ADAMS_Linear,20,2026,5,29,5,37,10,1,13,5,4
ADAMS_Linear,21,2026,5,37,10,25,2,2,9,4,6
ADAMS_Solver,19,2026,2,5,5,39,5,0,12,6,6
ADAMS_Solver,20,2026,6,39,5,38,5,1,12,6,6
ADAMS_Solver,21,2026,6,38,5,38,6,0,11,6,6
ADAMS_Solver_SMP,19,2026,2,8,2,36,10,4,13,7,5
ADAMS_Solver_SMP,20,2026,7,36,10,40,7,1,14,5,5
ADAMS_Solver_SMP,21,2026,5,40,7,26,11,0,10,5,6
ADAMS_View,19,2026,6,13,2,32,6,3,13,5,5
ADAMS_View,20,2026,5,32,6,31,10,0,12,5,6
ADAMS_View,21,2026,5,31,10,35,11,0,15,6,4
CRADLE_CFD,19,2026,5,12,2,21,4,0,10,7,9
CRADLE_CFD,20,2026,7,21,4,38,7,0,13,9,7
CRADLE_CFD,21,2026,9,38,7,38,6,3,13,7,5
DIGIMAT_MF,19,2026,4,10,1,30,1,1,13,6,6
DIGIMAT_MF,20,2026,6,30,1,23,4,0,9,6,8
DIGIMAT_MF,21,2026,6,23,4,31,7,2,12,8,7
DYTRAN,19,2026,3,10,1,30,8,0,12,4,3
DYTRAN,20,2026,4,30,8,31,6,1,11,3,5
DYTRAN,21,2026,3,31,6,28,3,1,11,5,5
MARC,19,2026,5,14,7,28,11,1,15,5,7
MARC,20,2026,5,28,11,35,6,1,10,7,8
MARC,21,2026,7,35,6,44,3,1,12,8,5
Mentat,19,2026,5,10,2,35,4,1,12,6,7
Mentat,20,2026,6,35,4,33,3,0,12,7,7
Mentat,21,2026,7,33,3,25,2,2,12,7,5
MSC_Apex_Analyst,19,2026,4,9,1,26,3,1,10,6,6
MSC_Apex_Analyst,20,2026,6,26,3,30,4,2,12,6,8
MSC_Apex_Analyst,21,2026,6,30,4,27,4,1,13,8,5
MSC_Apex_Modeler,19,2026,4,15,1,29,6,3,15,4,6
MSC_Apex_Modeler,20,2026,4,29,6,36,5,0,11,6,5
MSC_Apex_Modeler,21,2026,6,36,5,34,4,1,10,5,4
MSC_Nastran,19,2026,3,9,0,25,7,4,11,6,7
MSC_Nastran,20,2026,6,25,7,37,7,0,14,7,7
MSC_Nastran,21,2026,7,37,7,27,10,1,10,7,8
ODYSSEE_AE,19,2026,8,14,1,37,7,1,13,8,10
ODYSSEE_AE,20,2026,8,37,7,45,7,0,12,10,7
ODYSSEE_AE,21,2026,10,45,7,34,8,1,10,7,8
PATRAN,19,2026,3,10,3,33,7,0,12,3,7
PATRAN,20,2026,3,33,7,33,9,1,10,7,6
PATRAN,21,2026,7,33,9,39,3,3,12,6,2
SF_FORM_GUI,19,2026,5,12,2,36,8,1,14,6,5
SF_FORM_GUI,20,2026,6,36,8,28,9,2,10,5,6
SF_FORM_GUI,21,2026,5,28,9,31,6,3,13,6,4
SF_WELDING_GUI,19,2026,2,8,5,27,3,1,8,6,4
SF_WELDING_GUI,20,2026,6,27,3,36,4,4,12,4,5
SF_WELDING_GUI,21,2026,4,36,4,38,5,2,13,5,4
