feature_name,week,year,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
CFD Module,19,2026,16,128,7,134,8,4,19,17,18
CFD Module,20,2026,17,134,8,142,8,5,20,18,19
CFD Module,21,2026,18,142,8,149,9,5,21,19,20
CFD Module,22,2026,19,149,9,156,10,5,22,20,21
CFD Module,23,2026,20,156,10,163,10,6,23,21,22
CFD Module,24,2026,21,163,10,170,11,6,24,22,23
COMSOL Multiphysics,19,2026,18,145,8,152,7,5,21,19,20
COMSOL Multiphysics,20,2026,19,152,7,160,8,6,22,20,21
COMSOL Multiphysics,21,2026,20,160,8,166,9,6,23,21,22
COMSOL Multiphysics,22,2026,21,166,9,171,9,6,24,22,23
COMSOL Multiphysics,23,2026,22,171,9,178,10,7,25,23,24
COMSOL Multiphysics,24,2026,23,178,10,184,10,7,26,24,25
Heat Transfer,19,2026,14,112,5,118,5,3,17,15,16
Heat Transfer,20,2026,15,118,5,124,6,3,18,16,17
Heat Transfer,21,2026,16,124,6,129,6,4,19,17,17
Heat Transfer,22,2026,17,129,6,135,7,4,20,17,18
Heat Transfer,23,2026,17,135,7,142,7,4,21,18,19
Heat Transfer,24,2026,18,142,7,148,8,5,22,19,20
RF Module,19,2026,10,76,4,81,5,2,12,11,12
RF Module,20,2026,11,81,5,86,5,2,13,12,12
RF Module,21,2026,12,86,5,90,5,3,14,12,13
RF Module,22,2026,12,90,5,96,6,3,15,13,14
RF Module,23,2026,13,96,6,102,6,3,16,14,15
RF Module,24,2026,14,102,6,108,7,3,17,15,16
Structural Mechanics,19,2026,12,98,3,104,4,2,15,13,14
Structural Mechanics,20,2026,13,104,4,110,4,2,16,14,15
Structural Mechanics,21,2026,14,110,4,116,5,2,17,15,16
Structural Mechanics,22,2026,15,116,5,121,5,3,18,16,17
Structural Mechanics,23,2026,16,121,5,128,6,3,19,17,18
Structural Mechanics,24,2026,17,128,6,134,6,3,20,18,19
