event_date,feature,checkout_count,checkin_count,denied_count,unique_users,active_sessions,peak_concurrent,year,month,day,day_of_week,week,lag1,lag7,rolling_mean_7,target
2026-05-25,MATLAB,9,9,1,4,0,9,2026,5,25,0,22,0.0,0.0,0.0,9
2026-05-26,MATLAB,8,8,1,5,0,8,2026,5,26,1,22,9.0,0.0,0.0,8
2026-05-27,MATLAB,4,4,0,3,0,4,2026,5,27,2,22,8.0,0.0,0.0,4
2026-05-28,MATLAB,3,3,0,3,0,3,2026,5,28,3,22,4.0,0.0,0.0,3
2026-05-29,MATLAB,11,11,0,5,0,11,2026,5,29,4,22,3.0,0.0,0.0,11
2026-05-30,MATLAB,5,5,0,4,0,5,2026,5,30,5,22,11.0,0.0,0.0,5
2026-05-31,MATLAB,17,17,2,8,0,17,2026,5,31,6,22,5.0,0.0,8.142857142857142,17
2026-06-01,MATLAB,6,6,1,5,0,6,2026,6,1,0,23,17.0,9.0,7.714285714285714,6
2026-06-02,MATLAB,15,15,3,8,0,15,2026,6,2,1,23,6.0,8.0,8.714285714285714,15
2026-06-03,MATLAB,2,2,0,2,0,2,2026,6,3,2,23,15.0,4.0,8.428571428571429,2
2026-06-04,MATLAB,2,2,0,2,0,2,2026,6,4,3,23,2.0,3.0,8.285714285714286,2
2026-06-05,MATLAB,8,8,0,5,0,8,2026,6,5,4,23,2.0,11.0,7.857142857142857,8
2026-06-06,MATLAB,8,8,2,5,0,8,2026,6,6,5,23,8.0,5.0,8.285714285714286,8
2026-06-07,MATLAB,9,9,0,3,0,9,2026,6,7,6,23,8.0,17.0,7.142857142857143,9
2026-06-08,MATLAB,6,6,1,4,0,6,2026,6,8,0,24,9.0,6.0,7.142857142857143,6
2026-06-09,MATLAB,9,9,1,5,0,9,2026,6,9,1,24,6.0,15.0,6.285714285714286,9
2026-06-10,MATLAB,6,6,1,4,0,6,2026,6,10,2,24,9.0,2.0,6.857142857142857,6
2026-06-11,MATLAB,5,5,1,4,0,5,2026,6,11,3,24,6.0,2.0,7.285714285714286,5
2026-06-12,MATLAB,9,9,1,5,0,9,2026,6,12,4,24,5.0,8.0,7.428571428571429,9
2026-06-13,MATLAB,5,5,0,5,0,5,2026,6,13,5,24,9.0,8.0,7.0,5
2026-06-14,MATLAB,14,14,1,7,0,14,2026,6,14,6,24,5.0,9.0,7.714285714285714,14
2026-06-15,MATLAB,7,7,1,5,0,7,2026,6,15,0,25,14.0,6.0,7.857142857142857,7
2026-06-16,MATLAB,8,8,0,5,0,8,2026,6,16,1,25,7.0,9.0,7.714285714285714,8
2026-06-17,MATLAB,9,9,0,4,0,9,2026,6,17,2,25,8.0,6.0,8.142857142857142,9
2026-06-18,MATLAB,6,6,1,2,0,6,2026,6,18,3,25,9.0,5.0,8.285714285714286,6
2026-06-19,MATLAB,8,8,1,5,0,8,2026,6,19,4,25,6.0,9.0,8.142857142857142,8
2026-06-20,MATLAB,7,7,0,5,0,7,2026,6,20,5,25,8.0,5.0,8.428571428571429,7
2026-06-21,MATLAB,2,2,0,2,0,2,2026,6,21,6,25,7.0,14.0,6.714285714285714,2
2026-06-22,MATLAB,9,9,0,4,0,9,2026,6,22,0,26,2.0,7.0,7.0,9
